,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
945,1211134916339950,20,02 year(s) 00 month(s) 14 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0059103552,-
946,1211134915567917,112,00 year(s) 10 month(s) 26 day(s),L2-SF,Foster Foster Home,Available,L2,N,A0058428718,-
947,1211134591930458,39,02 year(s) 02 month(s) 03 day(s),L1,Foster Foster Home,Available,L1,M,A0058782548,-
948,1211134578956084,56,02 year(s) 03 month(s) 04 day(s),L1,Foster Foster Home,Available,L1,N,A0058532519,-
949,1211134578270394,7,08 year(s) 00 month(s) 15 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0059001294,-
950,1211134593064090,44,08 year(s) 00 month(s) 15 day(s),L2 SF,Foster Foster Home,Available,L2,S,A0059089105,+
951,1211134593169319,43,04 year(s) 00 month(s) 06 day(s),L2-SD,Foster Foster Home,Available,L2,F,A0058613596,+
952,1211134915535109,70,04 year(s) 02 month(s) 10 day(s),L1,Foster Foster Home,Available,L1,N,A0058743820,-
953,1211134592835967,37,03 year(s) 00 month(s) 22 day(s),L1,Foster Foster Home,Available,L1,F,A0059061547,-
954,1211134579304868,41,02 year(s) 01 month(s) 06 day(s),L2 - OA,Foster Foster Home,Available,L2,F,A0058956679,-
955,1211134591887420,55,02 year(s) 01 month(s) 22 day(s),L2-BR,Foster Foster Home,Available,L2,F,A0058852011,-
956,1211134578956092,44,03 year(s) 01 month(s) 00 day(s),L2 - BR/LB,Foster Foster Home,Available,L2,M,A0058996759,-
957,1211134916285336,62,03 year(s) 01 month(s) 20 day(s),L2-BR,Foster Foster Home,Available,L2,M,A0058869078,-
958,1211134916719090,52,07 year(s) 00 month(s) 19 day(s),L1,Foster Foster Home,Available,L1,F,A0059079840,-
959,1211134578379879,30,00 year(s) 09 month(s) 16 day(s),L2 - OA,Foster Foster Home,Available,L2,N,A0059095523,-
960,1211134572702371,40,00 year(s) 08 month(s) 24 day(s),L1,Foster Foster Home,Available,L1,S,A0057965273,-
961,1211134579400987,25,00 year(s) 09 month(s) 22 day(s),L1,Foster Foster Home,Available,L1,F,A0058853857,-
962,1211134578625126,55,05 year(s) 01 month(s) 04 day(s),L1,Foster Foster Home,Available,L1,M,A0058972613,+
963,1211134916781648,35,00 year(s) 08 month(s) 26 day(s),L3-SF,Foster Foster Home,Available,L3,M,A0059026165,-
964,1211134579442115,42,06 year(s) 00 month(s) 08 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0059116425,-
965,1211134912376916,32,01 year(s) 00 month(s) 20 day(s),L1,Foster Foster Home,Available,L1,F,A0059072898,-
966,1211134592721625,30,00 year(s) 06 month(s) 17 day(s),L1,Foster Foster Home,Available,L1,M,A0059084840,-
967,1211134593208634,33,00 year(s) 11 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,N,A0059093171,-
968,1211134577362904,72,08 year(s) 00 month(s) 20 day(s),L1,Foster Foster Home,Available,L1,F,A0059076639,+
969,1211134579359065,15,13 year(s) 00 month(s) 13 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,N,A0059109376,-
970,1211134574712676,74,00 year(s) 10 month(s) 26 day(s),L2-SF,Foster Foster Home,Available,L2,S,A0058428732,-
971,1211134566165397,47,02 year(s) 01 month(s) 05 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,N,A0058964571,-
972,1211134562730545,23,00 year(s) 08 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,M,A0059091185,-
973,1211134583833735,42,03 year(s) 00 month(s) 14 day(s),L1,Foster Foster Home,Nursing Mom,L1,F,A0059116528,+
974,1211134570629438,44,00 year(s) 10 month(s) 15 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0058798244,-
