,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
1148,1211051785029155,35,05 year(s) 00 month(s) 15 day(s),L2-A,Dog Visiting 060 C1,Available,L2,F,A0059101291,-
1149,1211051785487294,35,05 year(s) 00 month(s) 15 day(s),L2-A,Dog Visiting 060 C1,Available,L2,F,A0059101291,-
1150,1211051785116555,27,00 year(s) 06 month(s) 14 day(s),L1,Dogs 068 A2,Available,L1,F,A0059101770,-
1151,1211051785205864,27,00 year(s) 06 month(s) 14 day(s),L1,Dogs 068 A2,Available,L1,F,A0059101770,-
1152,1211051785048757,58,05 year(s) 00 month(s) 15 day(s),L1,Dogs 079 B2,Available,L1,M,A0059101512,-
1153,1211051785048767,58,05 year(s) 00 month(s) 15 day(s),L1,Dogs 079 B2,Available,L1,M,A0059101512,-
1154,1211051749617966,65,05 year(s) 00 month(s) 14 day(s),L2-OA,Foster Foster Home,Available,L2,M,A0059101670,-
1155,1211051749617976,65,05 year(s) 00 month(s) 14 day(s),L2-OA,Foster Foster Home,Available,L2,M,A0059101670,-
1156,1211051784953913,74,02 year(s) 00 month(s) 15 day(s),L1,Dogs 401 5,Available,L1,M,A0059101393,-
1157,1211051784953923,74,02 year(s) 00 month(s) 15 day(s),L1,Dogs 401 5,Available,L1,M,A0059101393,-
1158,1211051784461607,40,00 year(s) 10 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,F,A0059098998,+
1159,1211051784461617,40,00 year(s) 10 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,F,A0059098998,+
1160,1211051784462317,59,10 year(s) 00 month(s) 15 day(s),L2 - A,Dogs 502 1,Priority,L2,N,A0059100213,-
1161,1211051784462327,59,10 year(s) 00 month(s) 15 day(s),L2 - A,Dogs 502 1,Priority,L2,N,A0059100213,-
1162,1211051748818857,22,00 year(s) 08 month(s) 16 day(s),L1,Small Animals C1,Available,L1,F,A0059091250,-
1163,1211051748818867,22,00 year(s) 08 month(s) 16 day(s),L1,Small Animals C1,Available,L1,F,A0059091250,-
1164,1211051784209207,23,00 year(s) 08 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,M,A0059091185,-
1165,1211051784209217,23,00 year(s) 08 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,M,A0059091185,-
1166,1211041340150346,67,04 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 401 1,Available,L2,S,A0059097186,-
1167,1211041340150356,67,04 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 401 1,Available,L2,S,A0059097186,-
1168,1211041696221369,47,04 year(s) 00 month(s) 16 day(s),L3 - SF,Dogs 081 B4,Priority,L3,M,A0059098443,
1169,1211041697995972,47,04 year(s) 00 month(s) 16 day(s),L3 - SF,Dogs 081 B4,Priority,L3,M,A0059098443,
1170,1211041697855300,73,03 year(s) 00 month(s) 16 day(s),L1,Dogs 306 A2,Available,L1,M,A0059096501,-
1171,1211041698002707,73,03 year(s) 00 month(s) 16 day(s),L1,Dogs 306 A2,Available,L1,M,A0059096501,-
1172,1211041340004153,81,08 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 601 1,Available,L2,M,A0059095840,-
1173,1211041340004163,81,08 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 601 1,Available,L2,M,A0059095840,-
1174,1211041339981027,30,00 year(s) 09 month(s) 16 day(s),L2 - OA,Foster Foster Home,Available,L2,N,A0059095523,-
1175,1211041339981037,30,00 year(s) 09 month(s) 16 day(s),L2 - OA,Foster Foster Home,Available,L2,N,A0059095523,-
1176,1211041697831599,43,04 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 406 A3,Available,L2,F,A0059096476,-
1177,1211041697874082,43,04 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 406 A3,Available,L2,F,A0059096476,-
1178,1211041349279553,53,00 year(s) 11 month(s) 16 day(s),L2 - OA,Dogs 603 B3,Priority,L2,M,A0059095636,
1179,1211041349279563,53,00 year(s) 11 month(s) 16 day(s),L2 - OA,Dogs 603 B3,Priority,L2,M,A0059095636,
1180,1211041694141100,33,00 year(s) 11 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,N,A0059093171,-
1181,1211041697706335,33,00 year(s) 11 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,N,A0059093171,-
1182,1211041339240947,59,03 year(s) 00 month(s) 16 day(s),L2 - BH,Dogs 066 B1,Available,L2,M,A0059093469,
1183,1211041339876230,59,03 year(s) 00 month(s) 16 day(s),L2 - BH,Dogs 066 B1,Available,L2,M,A0059093469,
1184,1211041349164840,51,00 year(s) 09 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,S,A0059093794,-
1185,1211041349164850,51,00 year(s) 09 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,S,A0059093794,-
1186,1211041338698186,31,00 year(s) 10 month(s) 17 day(s),L1,Dogs 088 A7,Available,L1,N,A0059090536,-
1187,1211041339764927,31,00 year(s) 10 month(s) 17 day(s),L1,Dogs 088 A7,Available,L1,N,A0059090536,-
1188,1211041697407746,33,00 year(s) 08 month(s) 17 day(s),L1,Dogs 067 B1,Available,L1,F,A0059083921,-
1189,1211041697407756,33,00 year(s) 08 month(s) 17 day(s),L1,Dogs 067 B1,Available,L1,F,A0059083921,-
1190,1211041697403038,0,,L3-BR/SF,Dogs 406 B5,Priority,L3,M,A0059089696,
1191,1211041697403048,0,,L3-BR/SF,Dogs 406 B5,Priority,L3,M,A0059089696,
1192,1211030051465613,47,04 year(s) 00 month(s) 15 day(s),L3-SF/A/ OD,Dogs 603 B2,Priority,L3,M,A0059089132,-
1193,1211030051465621,47,04 year(s) 00 month(s) 15 day(s),L3-SF/A/ OD,Dogs 603 B2,Priority,L3,M,A0059089132,-
1194,1211030051314674,45,01 year(s) 06 month(s) 15 day(s),L1,Dogs 606 B2,Available,L1,M,A0059089087,
1195,1211030051314682,45,01 year(s) 06 month(s) 15 day(s),L1,Dogs 606 B2,Available,L1,M,A0059089087,
1196,1211030050484977,41,00 year(s) 10 month(s) 17 day(s),L1,Dogs 088 B4,Available,L1,S,A0059087305,-
1197,1211030051166822,41,00 year(s) 10 month(s) 17 day(s),L1,Dogs 088 B4,Available,L1,S,A0059087305,-
1198,1211030051001592,38,03 year(s) 00 month(s) 18 day(s),L1,Dogs 067 A3,Available,L1,M,A0059080810,-
1199,1211030051001600,38,03 year(s) 00 month(s) 18 day(s),L1,Dogs 067 A3,Available,L1,M,A0059080810,-
1200,1211030050926182,45,05 year(s) 00 month(s) 11 day(s),L1,Dogs 079 B1,Available,L1,F,A0059083932,+
1201,1211030050926190,45,05 year(s) 00 month(s) 11 day(s),L1,Dogs 079 B1,Available,L1,F,A0059083932,+
1202,1211030050924010,30,00 year(s) 06 month(s) 17 day(s),L1,Foster Foster Home,Available,L1,M,A0059084840,-
1203,1211030050924018,30,00 year(s) 06 month(s) 17 day(s),L1,Foster Foster Home,Available,L1,M,A0059084840,-
1204,1211019213459923,48,02 year(s) 00 month(s) 13 day(s),L3-SF,Dogs 402 4,Priority,L3,M,A0059083104,+
1205,1211019213459931,48,02 year(s) 00 month(s) 13 day(s),L3-SF,Dogs 402 4,Priority,L3,M,A0059083104,+
1206,1211019133027486,38,01 year(s) 00 month(s) 19 day(s),L3-SD,Dogs 066 A1,Cites,L3,F,A0059080672,-
1207,1211019133027494,38,01 year(s) 00 month(s) 19 day(s),L3-SD,Dogs 066 A1,Cites,L3,F,A0059080672,-
1208,1211019132490108,40,02 year(s) 00 month(s) 19 day(s),L2-A,Featured Dogs 55,Priority,L2,F,A0059080643,-
1209,1211019133036455,40,02 year(s) 00 month(s) 19 day(s),L2-A,Featured Dogs 55,Priority,L2,F,A0059080643,-
1210,1211014874142204,37,01 year(s) 00 month(s) 19 day(s),L2-JM/RG,Foster Foster Home,Available,L2,M,A0059079264,-
1211,1211014874142212,37,01 year(s) 00 month(s) 19 day(s),L2-JM/RG,Foster Foster Home,Available,L2,M,A0059079264,-
1212,1211014874072435,52,07 year(s) 00 month(s) 19 day(s),L1,Foster Foster Home,Available,L1,F,A0059079840,-
1213,1211014874072443,52,07 year(s) 00 month(s) 19 day(s),L1,Foster Foster Home,Available,L1,F,A0059079840,-
1214,1211015221669817,72,08 year(s) 00 month(s) 20 day(s),L1,Foster Foster Home,Available,L1,F,A0059076639,+
1215,1211015221669825,72,08 year(s) 00 month(s) 20 day(s),L1,Foster Foster Home,Available,L1,F,A0059076639,+
1216,1211015221649920,47,02 year(s) 00 month(s) 21 day(s),L2-OA,Foster Foster Home,Available,L2,F,A0059069956,-
1217,1211015221649928,47,02 year(s) 00 month(s) 21 day(s),L2-OA,Foster Foster Home,Available,L2,F,A0059069956,-
1218,1211015221644628,45,01 year(s) 06 month(s) 20 day(s),L2 - SF,Dogs 068 B3,Available,L2,F,A0059076505,-
1219,1211015221644636,45,01 year(s) 06 month(s) 20 day(s),L2 - SF,Dogs 068 B3,Available,L2,F,A0059076505,-
1220,1211014743768548,48,03 year(s) 00 month(s) 21 day(s),L3-SF,Dogs 081 A7,Priority,L3,M,A0059073119,
1221,1211014743881452,48,03 year(s) 00 month(s) 21 day(s),L3-SF,Dogs 081 A7,Priority,L3,M,A0059073119,
1222,1211012897313129,32,01 year(s) 00 month(s) 20 day(s),L1,Foster Foster Home,Available,L1,F,A0059072898,-
1223,1211012897313137,32,01 year(s) 00 month(s) 20 day(s),L1,Foster Foster Home,Available,L1,F,A0059072898,-
1224,1211012549293993,44,02 year(s) 00 month(s) 20 day(s),L1,Dogs 303 B3,Available,L1,F,A0059071245,-
1225,1211012549294001,44,02 year(s) 00 month(s) 20 day(s),L1,Dogs 303 B3,Available,L1,F,A0059071245,-
1226,1211012549304815,45,05 year(s) 00 month(s) 20 day(s),L1,Dog Quarantine A6,Available,L1,F,A0059070942,-
1227,1211012549304823,45,05 year(s) 00 month(s) 20 day(s),L1,Dog Quarantine A6,Available,L1,F,A0059070942,-
1228,1211012673008700,67,10 year(s) 00 month(s) 21 day(s),L1,Dogs 306 A6,Priority,L1,N,A0059068907,+
1229,1211012673008708,67,10 year(s) 00 month(s) 21 day(s),L1,Dogs 306 A6,Priority,L1,N,A0059068907,+
1230,1211012672840643,39,02 year(s) 00 month(s) 14 day(s),L3-SF,Dogs 601 3,Priority,L3,M,A0059061882,-
1231,1211012672985352,39,02 year(s) 00 month(s) 14 day(s),L3-SF,Dogs 601 3,Priority,L3,M,A0059061882,-
1232,1211012897184270,23,00 year(s) 04 month(s) 20 day(s),L1,Flex 82,Available,L1,S,A0059069721,-
1233,1211012897184278,23,00 year(s) 04 month(s) 20 day(s),L1,Flex 82,Available,L1,S,A0059069721,-
1234,1211012897204916,59,03 year(s) 00 month(s) 20 day(s),L1,Flex 82,Available,L1,S,A0059069720,+
1235,1211012897204924,59,03 year(s) 00 month(s) 20 day(s),L1,Flex 82,Available,L1,S,A0059069720,+
1236,1211012897134277,0,,L3-SF,Dogs 303 B2,Priority,L3,M,A0059061555,
1237,1211012897222824,0,,L3-SF,Dogs 303 B2,Priority,L3,M,A0059061555,
1238,1211004243782826,54,02 year(s) 00 month(s) 21 day(s),L1,Foster Foster Home,Available,L1,F,A0059068647,-
1239,1211004244857761,54,02 year(s) 00 month(s) 21 day(s),L1,Foster Foster Home,Available,L1,F,A0059068647,-
1240,1211003907333821,49,12 year(s) 00 month(s) 21 day(s),L1,Dogs 079 A3,Priority,L1,F,A0059069137,+
1241,1211003907333829,49,12 year(s) 00 month(s) 21 day(s),L1,Dogs 079 A3,Priority,L1,F,A0059069137,+
1242,1211003906597790,41,03 year(s) 00 month(s) 21 day(s),L1,Foster Foster Home,Available,L1,S,A0059069127,-
1243,1211003906597798,41,03 year(s) 00 month(s) 21 day(s),L1,Foster Foster Home,Available,L1,S,A0059069127,-
1244,1211004244519189,50,01 year(s) 07 month(s) 09 day(s),L1,Dog Quarantine A3,Available,L1,N,A0059064014,-
1245,1211004244519197,50,01 year(s) 07 month(s) 09 day(s),L1,Dog Quarantine A3,Available,L1,N,A0059064014,-
1246,1211003905753616,30,07 year(s) 00 month(s) 22 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0059061467,-
1247,1211003906947113,30,07 year(s) 00 month(s) 22 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0059061467,-
