,AnimalNumber,AnimalType,AnimalName,Age_x,ColorAndBreed,Stage,Location_x,DateOfBirth,Sex_x,AnimalWeight,NumberOfPictures,IntakeDateTime,ARN,MicrochipNumber,PlayStyle,Result,ExpirationDate,FosterReason,ShortURL,HoldReason,DogTest,PlayGroup,Behavior,HomeNotes,IntakeDate_x,Level_x,gid,Animal ID,Level_y,Level Reason,Special Intake Information,HW,Sex_y,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age_y,Location_y,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate_y,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed
200,A0058662435,Dog,Sweetie Pie,05 year(s) 09 month(s) 25 day(s)," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",Available,Receiving 130 3,6/8/2020,S,82,3,4/2/2026 03:09 PM,L1,941010003042852,,,,,,,,,,,4/2/2026,L1,1210492455001228,A0058662435,L1,L1,,-,F,941010003042852,6/18/2026,78,,Trial Adoption,05 year(s) 03 month(s) 14 day(s),Foster Trial Adoption,https://bit.ly/Adopt_SweetiePie,Trial Adoption,Strong puller,Has enjoyed interacting with other dogs,,,,,I'm affectionate with friends,,,6/7/2025," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",,Gentle Play,,"6/18/2025 came in hot, galloped around yard. loose and tolerant of dogs jumping on her, initially showing no direct interest in any of the dogs. content to do her own thing. she approached mollie and attempted to engage in play but mollie snapped at her - sweetie pie responded well to correction and backed off, was okay to stay in yard with her after that. ",6/8/2025 easily handled,,True
697,A0060624985,Dog,Loki,00 year(s) 05 month(s) 17 day(s)," Fawn Terrier, Pit Bull / Mix",Available,Receiving 130 19,10/16/2025,N,34,1,4/2/2026 10:00 AM,L2 SF,941010004061599,,,,,,,,,,,4/2/2026,L2,1213648041424970,A0060624985,L2,L2 SF,,,N,941010004061599,3/17/2027,34,Adoption Pending,Available,00 year(s) 05 month(s) 03 day(s),Small Animals C2,,,,,,,,,,,11/13/2025,3/13/2026," Fawn Terrier, Pit Bull / Mix",,,,,3/16/2026 Behavior Upon Arrival: (behavior in field or intake lobby):Observed Behavior in Kennel: WAS VERY SCARED (AIRSNAPPING) WHEN FIRST ARRIVED. MOVED TO 138 AND CALMED DOWNBehavior During Intake Exam: VERY FRIENDLY AND LOTS OF PACING/WHINING. OVERALL EASILY HANDLEDLevel Given After Intake (be specific): L2 SF ,,True
752,A0060659247,Dog,Ferb,05 year(s) 00 month(s) 13 day(s)," Black Mixed Breed, Large (over 44 lbs fully grown) / Mix",Available,Flex 85,3/20/2021,M,60,3,3/19/2026 11:07 PM,L1,941010005062817,,,,,,,,,,,3/19/2026,L1,1213750475470345,A0060659247,L1,L1,,-,M,941010005062817,3/21/2027,60,,Available,05 year(s) 00 month(s) 13 day(s),Flex 85,https://fcasdogs.com/Ferb,,,,,,,,,,3/20/2021,3/19/2026," Black Mixed Breed, Large (over 44 lbs fully grown) / Mix",,,,,3/20/2026 Behavior Upon Arrival: (behavior in field or intake lobby):N/AObserved Behavior in Kennel: Easily handledBehavior During Intake Exam: Easily handledLevel Given After Intake (be specific): L1 Easily handled ,,True
764,A0060666804,Dog,Noodle,01 year(s) 06 month(s) 11 day(s)," Apricot Chihuahua, Short Coat / Mix",Available,Dog Intake 128.02,9/22/2024,N,8,1,4/2/2026 12:48 PM,L3-SF,941010004500983,,,,,,,,,,,4/2/2026,L3,1213752844875709,A0060666804,L3,L3-SF,,-,M,941010004500983,,12,SHA/Pre-Fix Adoption,Stray Wait,01 year(s) 06 month(s) 04 day(s),Dog Intake 128.03,,,,,,,,,,,,3/21/2026," Apricot Chihuahua, Short Coat / Mix",,,,,3/23/2026 Behavior Upon Arrival: (behavior in field or intake lobby):Observed Behavior in Kennel: had to be placed in crate removed with towel startles easily tense muscles frozen/stuck in place Behavior During Intake Exam: tense muscles shut down shaking nervous no aggression startles easily tense muscles frozen/stuck in place Level Given After Intake (be specific): L3-SF ,,True
