"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0060717381","Dog","Warehouse Whitney","01 year(s) 06 month(s) 03 day(s)","Brindle Brindle Terrier, Pit Bull / Mix","Stray Wait","Dogs 503","A3","9/30/2024 12:00 AM","F","58.8","1","3/30/2026 11:30 PM","L1","941010004784182"
"A0060717528","Dog","Lotto-ADOPTED","01 year(s) 06 month(s) 01 day(s)"," Brown Bully American - Pocket / Mix","Identifying Info","Dogs 402","C1","10/1/2024 12:00 AM","F","39","1","3/31/2026 07:42 AM","L1",""
"A0060717903","Dog","Missie","04 year(s) 00 month(s) 02 day(s)"," Black / Tan Alaskan Malamute / Mix","Pending Medical Assessment/Treatment","Mutternity","1","3/31/2022 12:00 AM","F","","1","3/31/2026 09:52 AM","STAFF ONLY",""
"A0060719174","Dog","Pablo-ADOPTED","00 year(s) 03 month(s) 01 day(s)"," Black / Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix","Stray Wait","Small Animals","1","1/1/2026 12:00 AM","M","20.2","1","3/31/2026 11:16 AM","L1","941010004783190"
"A0060719344","Dog","Yessica-adopted!","05 year(s) 00 month(s) 02 day(s)"," Brindle / Brown Cane Corso / Mix","Stray Wait- Rescue","Dog Pre/Post Op 138","1","3/31/2021 12:00 AM","F","78","1","3/31/2026 12:02 PM","","941010005090110"
"A0060719576","Cat","Maroney",""," Orange / White Domestic Shorthair / Mix","Bite Quarantine","Cat Intake 044","3","","M","","1","3/31/2026 11:42 AM","",""
"A0060720123","Dog","Kai","01 year(s) 00 month(s) 01 day(s)"," Brown / White Retriever, Labrador / Mix","Identifying Info","Dogs 303","A6","4/1/2025 12:00 AM","M","53","2","3/31/2026 10:30 AM","L1",""
"A0060720245","Cat","Luna","02 year(s) 00 month(s) 00 day(s)","Tabby Brown / White Domestic Shorthair / Mix","Microchip","Cats 031","3 A","4/2/2024 12:00 AM","S","9.31","1","3/31/2026 12:40 PM","L1","982000407638513"
"A0060720262","Dog","Terzo","05 year(s) 00 month(s) 01 day(s)"," Tan / White Retriever, Labrador / Shepherd","Stray Wait","Dogs 402","6","4/1/2021 12:00 AM","M","52","1","3/31/2026 04:35 PM","L2-SF","941010004774015"
"A0060720854","Dog","Turbo Ghost","03 year(s) 10 month(s) 25 day(s)"," White / Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 502","6","5/8/2022 12:00 AM","F","55","1","3/31/2026 01:28 PM","L3-SF/A/V","981020039740654"
"A0060721843","Dog","Clipper","01 year(s) 00 month(s) 02 day(s)"," Tan Retriever, Labrador / Mix","Stray Wait","Dogs 406"," B1","3/31/2025 12:00 AM","M","47.2","1","3/31/2026 02:47 PM","L1","941010004720866"
"A0060723345","Dog","Mina","02 year(s) 00 month(s) 01 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Stray Wait","Dogs 402","C4","4/1/2024 12:00 AM","F","32.2","2","3/31/2026 09:32 PM","L1","941010004509612"
"A0060725040","Dog","Chandler","00 year(s) 11 month(s) 01 day(s)"," Brown / Black Australian Shepherd / Mix","Identifying Info","Dogs 067","A2","5/1/2025 12:00 AM","F","49.2","2","4/1/2026 01:31 AM","L1",""
