"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0053293515","Dog","HERCULES","11 year(s) 03 month(s) 25 day(s)"," Grey Terrier, Pit Bull / Mix","Court","Dogs 203","6","12/8/2014 12:00 AM","M","85","3","10/24/2024 06:33 PM","L1",""
"A0053300757","Dog","XANDER","10 year(s) 01 month(s) 10 day(s)"," Grey / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","2/23/2016 12:00 AM","N","63","3","3/25/2025 12:54 PM","L1 A486212","985112007713589"
"A0053596658","Dog","MARTIN","07 year(s) 09 month(s) 08 day(s)"," Grey Terrier, Pit Bull / Mix","Available","Foster","Foster Home","6/25/2018 12:00 AM","N","47","3","4/30/2025 12:55 PM","L1-A857655","985112010484541"
"A0053600138","Dog","STARLET- ADOPTED","10 year(s) 01 month(s) 15 day(s)"," Brown / White Terrier, Pit Bull / Mix","Trial Adoption","Foster","Trial Adoption","2/18/2016 12:00 AM","S","29.2","1","2/9/2026 12:30 PM","L1","982126055022099"
"A0053600299","Dog","CHROME","07 year(s) 09 month(s) 19 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","6/14/2018 12:00 AM","N","48","3","3/27/2025 01:37 PM","L1   A861769","982126055026199"
"A0053603468","Dog","ZLATA","09 year(s) 11 month(s) 25 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","4/8/2016 12:00 AM","S","42","3","3/24/2024 03:39 PM","L2-LB",""
"A0053604480","Cat","Blade -ADOPTED","07 year(s) 06 month(s) 22 day(s)","Tabby Orange Domestic Shorthair / Mix","Adopted","Foster","Trial Adoption","9/11/2018 12:00 AM","N","11.26","1","3/13/2026 11:49 AM","L1","982126055392590"
"A0053605629","Dog","COCO","08 year(s) 06 month(s) 23 day(s)"," Chocolate Terrier, American Pit Bull / Mix","Priority","Dogs 403","A4","9/10/2017 12:00 AM","S","50","3","1/22/2026 03:04 PM","L1-H","981020021274336"
"A0053610785","Dog","Striker","08 year(s) 05 month(s) 15 day(s)"," White Bulldog, American / Mix","Microchip","Dogs 406","B6","10/18/2017 12:00 AM","N","61","3","3/26/2026 02:02 PM","L1","982126058916951"
"A0053612126","Dog","PRINCESS","07 year(s) 09 month(s) 30 day(s)"," Grey Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","6/3/2018 12:00 AM","S","67","3","6/9/2025 05:34 PM","L1-A873957","982126058918920"
"A0053613954","Dog","QUEEN","06 year(s) 07 month(s) 02 day(s)"," Brown Terrier, American Pit Bull / Mix","Priority","Dogs 602","6","8/31/2019 12:00 AM","S","36","3","1/3/2026 04:19 PM","L2-SF/BH","982126059832018"
"A0053614849","Dog","HICKORY","06 year(s) 05 month(s) 20 day(s)"," Brown Terrier, Pit Bull / Mix","Priority","Dogs 088","B7","10/13/2019 12:00 AM","N","45.8","3","1/16/2026 02:56 PM","L1        A877187","982091061976774"
"A0053615127","Dog","Miss Girl","06 year(s) 06 month(s) 03 day(s)"," Black / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/30/2019 12:00 AM","S","51.2","3","2/21/2026 04:15 PM","L1-A876919","982126059842251"
"A0053615474","Dog","Honey","08 year(s) 05 month(s) 30 day(s)"," Tan Retriever, Labrador / Mix","Priority","Dogs 303","B2","10/3/2017 12:00 AM","S","51.2","3","3/27/2026 12:23 PM","L3-RG/BH/H","982091061981724"
"A0053618691","Dog","JOHN","08 year(s) 00 month(s) 06 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","3/27/2018 12:00 AM","N","74","3","7/21/2025 02:27 PM","L1- A880593","982091062092197"
"A0053620268","Dog","BLADE","05 year(s) 09 month(s) 03 day(s)"," Brown Cur, Black-Mouth / Mix","Cites","Dogs 303","A3","6/30/2020 12:00 AM","N","58","3","3/3/2026 07:40 PM","L1-A882936","982091061627517"
"A0053621296","Dog","MERCY","08 year(s) 08 month(s) 11 day(s)"," White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","7/22/2017 12:00 AM","S","67","3","2/2/2023 04:55 PM","A883569","982091065868427"
"A0053623474","Dog","AMY","07 year(s) 06 month(s) 14 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","9/19/2018 12:00 AM","S","57.4","3","7/16/2025 02:21 PM","L1","982091066585821"
"A0053624978","Dog","LEX E","04 year(s) 09 month(s) 05 day(s)"," Tan Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","6/28/2021 12:00 AM","S","40","3","1/24/2026 03:19 PM","A887386 - L1","982091066160892"
"A0053626387","Dog","SNAIL","05 year(s) 00 month(s) 12 day(s)"," Black / White German Shepherd / Mix","Available","Foster","Foster Home","3/21/2021 12:00 AM","N","54.2","3","1/8/2024 09:22 AM","A889029  L2-BR/A","982091069630594"
"A0053630131","Dog","HEATH BAR","03 year(s) 09 month(s) 22 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Foster","Foster Home","6/11/2022 12:00 AM","N","63","3","8/21/2025 03:53 PM","A892389 L2-LB","982091070202146"
"A0053632065","Dog","JOHNSTON","12 year(s) 04 month(s) 21 day(s)"," Black Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","11/12/2013 12:00 AM","N","59","3","11/12/2022 11:33 AM","L1","981020031597741"
"A0053632811","Dog","ARETHA","05 year(s) 02 month(s) 22 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Dogs 088","A4","1/11/2021 12:00 AM","S","46.2","3","3/16/2026 01:23 PM","L1","982091073129039"
"A0053633913","Dog","Bet","05 year(s) 01 month(s) 12 day(s)"," Brown Retriever, Labrador / Mix","Available","Foster","Foster Home","2/21/2021 12:00 AM","S","53","3","2/21/2023 04:22 PM","L1 A896667","982091073126020"
"A0053634174","Dog","GHOST BROWN","05 year(s) 06 month(s) 30 day(s)"," White Terrier, Pit Bull / Mix","Court","Dogs 203","7","9/3/2020 12:00 AM","M","57","1","3/3/2023 08:31 PM","Staff Only   A896900",""
"A0053635126","Dog","KALI","06 year(s) 00 month(s) 06 day(s)"," White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","3/27/2020 12:00 AM","S","51","3","9/16/2025 11:19 AM","L1","985112010875922"
"A0053635437","Dog","DINO","04 year(s) 05 month(s) 13 day(s)"," Grey Terrier, Pit Bull / Mix","Available","Foster","Foster Home","10/20/2021 12:00 AM","N","54","3","4/20/2023 08:50 PM","A898038","981020053383841"
"A0053822949","Dog","Wynston","02 year(s) 10 month(s) 08 day(s)"," White / Brown Terrier, American Pit Bull / Mix","Priority","Foster","Foster Home","5/25/2023 12:00 AM","S","57.4","3","11/28/2025 12:42 PM","L2-A","941000028278666"
"A0053911720","Dog","Bocephus","09 year(s) 00 month(s) 15 day(s)"," Brown / White Boxer / Mix","Available","Foster","Foster Home","3/18/2017 12:00 AM","N","53","3","6/18/2025 12:16 PM","L1","941000028295049"
"A0054067162","Dog","Tasha","06 year(s) 11 month(s) 13 day(s)"," Tan / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 088","A2","4/20/2019 12:00 AM","S","43","3","3/7/2026 01:51 PM","L1","982091062252051"
"A0054123479","Dog","Charlie Brown",""," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","","N","70.6","3","9/9/2023 03:03 PM","","941000028295734"
"A0054165092","Dog","Nasir","05 year(s) 06 month(s) 18 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Receiving 130","20","9/15/2020 12:00 AM","N","39","3","3/28/2026 11:08 AM","L1","981020045018410"
"A0054497142","Dog","MARIO","03 year(s) 04 month(s) 23 day(s)"," Black / Brown Terrier, American Pit Bull / Mix","Available","Dogs 406","A5","11/10/2022 12:00 AM","N","69.2","3","3/16/2026 05:11 PM","L1","941010001399222"
"A0054667066","Dog","Tiny","03 year(s) 00 month(s) 04 day(s)","Merle Tan / Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","3/29/2023 12:00 AM","S","52","3","3/23/2024 12:34 PM","L2-SF","982091073475472"
"A0054884374","Dog","Stormi","03 year(s) 03 month(s) 21 day(s)"," Black Bulldog / Mix","Court","Foster","Foster Home","12/12/2022 12:00 AM","S","36.4","1","12/3/2023 12:40 PM","L2-OA","941010001296177"
"A0055062948","Dog","Mystic","05 year(s) 02 month(s) 24 day(s)"," Black Shepherd / Mix","Available","Foster","Foster Home","1/9/2021 12:00 AM","S","44.6","3","1/6/2024 05:16 PM","L1-2024-000263","941010001853350"
"A0055110303","Dog","Shakira","10 year(s) 02 month(s) 16 day(s)"," Grey / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","1/17/2016 12:00 AM","S","53","3","1/16/2024 03:42 PM","L1","941010001750677"
"A0055115127","Dog","Bebe","06 year(s) 02 month(s) 16 day(s)"," Grey Terrier, American Pit Bull / Mix","Priority","Foster","Foster Home","1/17/2020 12:00 AM","S","51.6","3","11/30/2025 03:12 PM","L1","941010001975823"
"A0055135794","Dog","Spanky","03 year(s) 02 month(s) 11 day(s)","Brindle Tan Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","1/22/2023 12:00 AM","N","47","3","1/20/2024 10:00 PM","L3-OA/LB","941010001773047"
"A0055170336","Dog","Montana","02 year(s) 07 month(s) 04 day(s)"," Tan / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Urgent","Foster","Foster Home","8/29/2023 12:00 AM","S","65","3","1/17/2026 02:44 PM","L3 -A/H/RG","941010001926985"
"A0055170623","Dog","Skylar","06 year(s) 02 month(s) 06 day(s)"," Tan Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","1/27/2020 12:00 AM","S","38","3","1/26/2024 06:39 PM","L2 - BR","941010001833847"
"A0055384323","Dog","Sweet Girl - ADOPTED","05 year(s) 07 month(s) 11 day(s)"," White / Grey Terrier / Mix","Trial Adoption","Foster","Trial Adoption","8/22/2020 12:00 AM","S","38.2","3","2/21/2026 03:55 PM","L2-SF","985113004335018"
"A0055454653","Dog","Amy","05 year(s) 00 month(s) 21 day(s)"," Brindle Shepherd / Mix","Available","Foster","Foster Home","3/12/2021 12:00 AM","S","44","3","3/1/2024 11:14 PM","L2-SF","941010001948121"
"A0055669132","Dog","Babes","05 year(s) 11 month(s) 25 day(s)"," Black / White Bulldog / Mix","Priority","Dogs 603","A3","4/8/2020 12:00 AM","S","37","3","2/6/2026 05:00 PM","L2 - SD/H","941010001880008"
"A0055697269","Dog","Zoey","04 year(s) 00 month(s) 15 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","3/18/2022 12:00 AM","S","44.8","2","4/10/2024 08:34 PM","L1","941010001847361"
"A0055822832","Dog","Daisy Maisy","02 year(s) 05 month(s) 01 day(s)"," Tan Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/1/2023 12:00 AM","S","39","3","1/14/2026 03:33 PM","L1","941010003306641"
"A0055857982","Dog","Dani","02 year(s) 10 month(s) 27 day(s)"," White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","5/6/2023 12:00 AM","S","37","3","8/16/2024 05:42 PM","L1","941010001889216"
"A0055942798","Dog","Woofie Goldberg","06 year(s) 02 month(s) 20 day(s)"," Black / White Terrier, Pit Bull","Available","Foster","Foster Home","1/13/2020 12:00 AM","S","66","3","1/12/2026 01:03 PM","L1","941010001981196"
"A0055952142","Dog","Angel","03 year(s) 10 month(s) 13 day(s)"," White / Beige Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","5/20/2022 12:00 AM","S","37","3","5/18/2024 08:05 PM","L2-SF","941010001915335"
"A0055971280","Dog","Dean","03 year(s) 04 month(s) 09 day(s)"," White / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","11/24/2022 12:00 AM","N","56.2","3","5/21/2024 05:49 PM","L1","941010002394423"
"A0056025635","Dog","Rick Sanchez","05 year(s) 10 month(s) 02 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","5/31/2020 12:00 AM","N","81.8","3","5/29/2024 10:08 PM","L2-BR","941010003408863"
"A0056032086","Dog","Kiaayo",""," Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","","N","42.2","1","5/30/2024 03:40 PM","","941010002118640"
"A0056039115","Dog","Sterling","04 year(s) 04 month(s) 06 day(s)"," Brindle Bullmastiff / Mix","Court","Dogs 202","6","11/27/2021 12:00 AM","M","140","3","5/31/2024 03:44 PM","STAFF ONLY",""
"A0056096120","Dog","Kumar","02 year(s) 09 month(s) 23 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","6/10/2023 12:00 AM","N","50.8","3","6/8/2024 11:57 PM","L2-OA","941010002112996"
"A0056115306","Dog","Axle- ADOPTED","01 year(s) 11 month(s) 20 day(s)"," Golden Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","4/13/2024 12:00 AM","N","34.4","3","2/20/2026 01:00 PM","L2-OA","941010003397848"
"A0056223206","Dog","Mendel","04 year(s) 09 month(s) 08 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","6/25/2021 12:00 AM","N","54","3","6/23/2024 06:54 PM","L1","941010002253970"
"A0056262476","Dog","Miracle Grace","03 year(s) 02 month(s) 01 day(s)"," Tan Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Dogs 203","3","2/1/2023 12:00 AM","N","53.4","3","11/7/2024 04:34 PM","L2 -EA/RG","941010002250748"
"A0056298384","Dog","Dumplin","03 year(s) 08 month(s) 26 day(s)"," Brown German Shepherd / Mix","Court","Foster","Foster Home","7/7/2022 12:00 AM","S","58","2","11/7/2024 04:34 PM","L3-BH/OA/H","941010002244127"
"A0056307016","Dog","Tony","03 year(s) 08 month(s) 24 day(s)"," Grey Terrier, Pit Bull / Mix","Available","Dogs 066","A6","7/9/2022 12:00 AM","M","56.2","1","3/9/2026 04:48 PM","L1","941010003247450"
"A0056311122","Dog","Aries","04 year(s) 08 month(s) 24 day(s)","Merle Brown Terrier, American Pit Bull","Court","Dog Quarantine","B1","7/9/2021 12:00 AM","M","65","1","7/7/2024 01:04 AM","L1",""
"A0056311125","Dog","Taurus","04 year(s) 08 month(s) 23 day(s)"," Black / Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Dog Quarantine","A5","7/10/2021 12:00 AM","F","57","1","7/7/2024 01:11 AM","L2 - SD/OA",""
"A0056311130","Dog","Gemini","05 year(s) 08 month(s) 23 day(s)","Merle Grey / Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Dog Quarantine","A2","7/10/2020 12:00 AM","F","63.6","2","7/7/2024 01:15 AM","L1",""
"A0056311133","Dog","Cancer","02 year(s) 04 month(s) 23 day(s)"," Tan / Black Mixed Breed, Large (over 44 lbs fully grown)","Court","Dogs 201","3","11/10/2023 12:00 AM","M","33","1","7/7/2024 01:18 AM","STAFF ONLY",""
"A0056311137","Dog","Lea","08 year(s) 08 month(s) 23 day(s)"," Charcoal / Tan Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Foster","Foster Home","7/10/2017 12:00 AM","F","72.2","1","7/7/2024 01:22 AM","L1",""
"A0056311140","Dog","Virgo","05 year(s) 08 month(s) 27 day(s)"," Charcoal / Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Dog ISO 155","A1","7/6/2020 12:00 AM","F","49.2","1","7/7/2024 01:27 AM","L1",""
"A0056311146","Dog","Libra","03 year(s) 02 month(s) 24 day(s)","Merle Tan / Grey Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Dogs 203","4","1/9/2023 12:00 AM","M","50","3","7/7/2024 01:30 AM","STAFF ONLY",""
"A0056311153","Dog","Pisces","02 year(s) 02 month(s) 23 day(s)"," Sandy / Grey Terrier, American Pit Bull","Court","Dog ISO 155","A1","1/10/2024 12:00 AM","M","52.8","1","7/7/2024 01:37 AM","L1-H",""
"A0056354164","Dog","Flo-jo","06 year(s) 08 month(s) 19 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Foster","Foster Home","7/14/2019 12:00 AM","S","58","3","7/13/2024 11:18 AM","L1","941010003208608"
"A0056378001","Dog","Tise","10 year(s) 07 month(s) 18 day(s)"," Tan / White Retriever, Labrador / Mix","Available","Foster","Foster Home","8/15/2015 12:00 AM","S","43","3","7/17/2024 12:08 PM","L1","941010003280637"
"A0056388664","Dog","Kaa","04 year(s) 02 month(s) 13 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","1/20/2022 12:00 AM","S","42","3","7/18/2024 02:34 PM","L3-SD/RG/OD","985113007597942"
"A0056408698","Dog","Silver","05 year(s) 08 month(s) 11 day(s)"," White / Brown Boxer / Mix","Available","Foster","Foster Home","7/22/2020 12:00 AM","N","74.6","3","7/22/2024 12:37 PM","L1","941010003236713"
"A0056500648","Dog","Carmen","07 year(s) 07 month(s) 28 day(s)"," Fawn Terrier, Pit Bull / Mix","Available","Foster","Foster Home","8/5/2018 12:00 AM","S","48","3","8/5/2024 03:02 AM","L2-LR/BR","941010002281446"
"A0056503718","Dog","Auggie","06 year(s) 07 month(s) 27 day(s)"," White / Black Terrier, Pit Bull / Mix","Available","Foster","Foster Home","8/6/2019 12:00 AM","N","96","3","8/5/2024 01:36 PM","L1","941010002260855"
"A0056507497","Dog","Pete","04 year(s) 07 month(s) 26 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","8/7/2021 12:00 AM","N","38","3","8/5/2024 08:37 PM","L3 - BR","941010002277181"
"A0056525090","Cat","Supacell","","Tabby Brown Domestic Shorthair / Mix","Available","Foster","Foster Home","","S","9","1","8/8/2024 11:32 AM","CAUTION","941010002337779"
"A0056545695","Dog","Beauty","07 year(s) 07 month(s) 20 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/13/2018 12:00 AM","S","69.4","3","8/12/2024 10:28 AM","L1","941010002447734"
"A0056598333","Dog","Kibo","02 year(s) 11 month(s) 26 day(s)","Brindle Black Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","4/7/2023 12:00 AM","N","40","3","8/19/2024 10:23 PM","L1","941010001860228"
"A0056628457","Dog","Pookies","03 year(s) 07 month(s) 08 day(s)"," Tan / Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/25/2022 12:00 AM","S","60.2","3","8/12/2025 10:43 AM","L2-H/BR","941010002239721"
"A0056629500","Dog","SHYANN PAWS","04 year(s) 07 month(s) 09 day(s)"," Rust / White Terrier / Mix","Available","Foster","Foster Home","8/24/2021 12:00 AM","S","42","3","8/23/2024 09:25 PM","L2-SF","941010002398873"
"A0056647661","Dog","Eddie","04 year(s) 07 month(s) 05 day(s)"," White / Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/28/2021 12:00 AM","N","55.2","3","8/27/2024 01:27 PM","L1","985113008930295"
"A0056849502","Dog","Sheba","06 year(s) 06 month(s) 24 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Available","Dogs 506","B6","9/9/2019 12:00 AM","S","56.4","3","2/19/2026 01:42 PM","L1","981020025245164"
"A0056916402","Dog","Loki","09 year(s) 06 month(s) 14 day(s)"," Black / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Dogs 603","B2","9/19/2016 12:00 AM","N","51","3","2/7/2026 02:23 PM","L1","981020029327723"
"A0056927704","Dog","SHIMMER","06 year(s) 06 month(s) 12 day(s)"," Black / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/21/2019 12:00 AM","S","55","3","9/20/2024 06:35 PM","L1","941010002369170"
"A0056944879","Dog","Pickles","05 year(s) 06 month(s) 08 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","9/25/2020 12:00 AM","S","58","3","9/24/2024 11:56 AM","L1","941010002370002"
"A0056989366","Dog","Scooby","02 year(s) 06 month(s) 00 day(s)"," Tan Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/2/2023 12:00 AM","N","62","3","9/30/2024 07:58 PM","L1","941010002284284"
"A0057051256","Dog","Petunia","02 year(s) 04 month(s) 25 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","11/8/2023 12:00 AM","S","54","3","10/10/2024 12:28 AM","L1","941010002244635"
"A0057054603","Dog","Ivory","03 year(s) 05 month(s) 22 day(s)"," White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/11/2022 12:00 AM","S","45","3","10/10/2024 01:27 PM","L1","941010001950676"
"A0057075321","Dog","Barda","05 year(s) 05 month(s) 18 day(s)"," White / Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/15/2020 12:00 AM","S","54.2","2","10/14/2024 02:10 PM","","985113009424589"
"A0057078055","Dog","Starlight","04 year(s) 05 month(s) 17 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Dogs 403","A1","10/16/2021 12:00 AM","S","44.8","3","3/13/2026 03:02 PM","L2-LB","941010002279968"
"A0057081101","Dog","Springy","03 year(s) 05 month(s) 17 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/16/2022 12:00 AM","S","60","3","10/15/2024 12:23 PM","L2 - JM","941010002380847"
"A0057149974","Dog","Tilly","04 year(s) 05 month(s) 08 day(s)"," Black Terrier, American Pit Bull / Mix","Court","Dog Quarantine","A6","10/25/2021 12:00 AM","F","47","2","10/24/2024 06:41 PM","L1",""
"A0057165859","Dog","Waffle House","02 year(s) 05 month(s) 05 day(s)"," White / Black Retriever, Labrador / Mix","Available","Foster","Foster Home","10/28/2023 12:00 AM","S","46","3","5/21/2025 11:59 AM","L1","941010003400214"
"A0057165899","Dog","Tint","02 year(s) 11 month(s) 03 day(s)"," Black / White Retriever, Labrador / Mix","Available","Foster","Foster Home","4/30/2023 12:00 AM","N","56.4","2","10/28/2024 12:37 PM","L1","941010002457333"
"A0057177276","Dog","Jeremy","04 year(s) 05 month(s) 03 day(s)"," Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/30/2021 12:00 AM","N","34","3","8/14/2025 01:09 PM","L2-SF","941010002456553"
"A0057261594","Dog","Lydia","05 year(s) 04 month(s) 20 day(s)"," Tan / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","11/13/2020 12:00 AM","S","43.6","3","11/12/2024 04:11 PM","L1","941010002250940"
"A0057284234","Dog","Bravo","01 year(s) 08 month(s) 17 day(s)","Brindle Brown / White Terrier, American Pit Bull / Mix","Available","Dogs 064","B4","7/16/2024 12:00 AM","N","57","3","2/27/2026 03:22 PM","L1","941010002236034"
"A0057303592","Dog","Gretchen","03 year(s) 04 month(s) 13 day(s)"," Black / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","11/20/2022 12:00 AM","S","45","3","11/19/2024 02:19 PM","L2-OA","941010002970823"
"A0057321831","Dog","Delores","03 year(s) 04 month(s) 11 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/22/2022 12:00 AM","S","48.6","3","11/21/2024 04:39 PM","L1","985113009350011"
"A0057378453","Dog","Jude","05 year(s) 03 month(s) 29 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Dogs 066","A3","12/4/2020 12:00 AM","N","53.6","3","2/10/2026 03:10 PM","L1","941010002258354"
"A0057378972","Dog","Banana","01 year(s) 11 month(s) 29 day(s)"," White Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","4/4/2024 12:00 AM","S","49.2","3","12/28/2025 05:06 PM","L2-SD","941010002306232"
"A0057425727","Dog","Lonnie","04 year(s) 03 month(s) 22 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","12/11/2021 12:00 AM","N","64.6","3","12/10/2024 12:32 PM","L2-LB","985112012351971"
"A0057441089","Cat","Snow","02 year(s) 03 month(s) 18 day(s)","Tabby White / Orange Domestic Shorthair / Mix","Available","Foster","Foster Home","12/15/2023 12:00 AM","N","8","1","12/11/2024 04:22 PM","L3-SF","941010002312626"
"A0057441751","Dog","ROME","01 year(s) 04 month(s) 25 day(s)"," Black / White Retriever, Labrador / Mix","Available","Dogs 601","4","11/8/2024 12:00 AM","S","73","2","3/24/2026 02:00 PM","L2 - A/OA/LB","941010003035817"
"A0057455043","Dog","Pen","03 year(s) 03 month(s) 18 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","12/15/2022 12:00 AM","S","52.2","3","12/13/2024 03:21 PM","L3- H/ OA/ OD","991003911493904"
"A0057471755","Dog","Jean","03 year(s) 03 month(s) 15 day(s)"," Black / Brown Shepherd / Mix","Available","Foster","Foster Home","12/18/2022 12:00 AM","S","44.4","3","3/3/2025 11:29 AM","L2 - SF","941010002223073"
"A0057478759","Dog","Kathy Bates","04 year(s) 03 month(s) 15 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","12/18/2021 12:00 AM","S","60","3","12/17/2024 04:50 PM","L1","941010002715993"
"A0057500992","Dog","Princess","09 year(s) 03 month(s) 02 day(s)","Brindle Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","12/31/2016 12:00 AM","S","44","3","12/20/2024 02:12 PM","L1","941010003241335"
"A0057512818","Dog","King","04 year(s) 03 month(s) 09 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","12/24/2021 12:00 AM","N","55","3","12/23/2024 12:53 PM","L2- BR/M&G","941010002685809"
"A0057519038","Dog","Meatball-ADOPTED","02 year(s) 03 month(s) 07 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","12/26/2023 12:00 AM","S","54","3","3/8/2026 04:00 PM","L1","985113007519701"
"A0057534650","Dog","Vegas","01 year(s) 08 month(s) 05 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 606","A6","7/28/2024 12:00 AM","N","66.6","3","2/20/2026 03:39 PM","L1","941010002306270"
"A0057572441","Dog","Ramona","03 year(s) 02 month(s) 29 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","1/4/2023 12:00 AM","S","47","3","1/3/2025 03:24 PM","L2-OA","941010002361764"
"A0057603427","Dog","Ranger","04 year(s) 00 month(s) 27 day(s)"," Tan / Tan Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","3/6/2022 12:00 AM","N","51.2","1","3/5/2026 03:44 PM","L1","941010002313283"
"A0057609567","Dog","Milkbone","04 year(s) 02 month(s) 22 day(s)"," Brown / Brindle Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","1/11/2022 12:00 AM","N","50.8","3","1/9/2025 01:17 PM","L1","985113009341574"
"A0057614005","Dog","Bulgogi-ADOPTED","04 year(s) 02 month(s) 22 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","1/11/2022 12:00 AM","S","64","3","1/9/2025 06:21 PM","L3-OA/ H","941010002262065"
